fare_id,route_id,origin_id,destination_id,contains_id
125,,47,30,
127,,48,30,
121,,5,31,
125,,6,31,
209,,7,31,
131,,8,31,
115,,49,31,
88,,10,31,
85,,11,31,
82,,12,31,
78,,13,31,
77,,14,31,
76,,15,31,
76,,16,31,
77,,17,31,
77,,18,31,
77,,19,31,
80,,20,31,
83,,21,31,
89,,22,31,
93,,23,31,
98,,24,31,
103,,25,31,
112,,26,31,
118,,27,31,
98,,28,31,
118,,29,31,
35,,30,31,
104,,31,31,
117,,32,31,
35,,33,31,
35,,34,31,
35,,35,31,
55,,36,31,
64,,37,31,
74,,38,31,
80,,39,31,
109,,40,31,
109,,41,31,
109,,42,31,
109,,43,31,
111,,44,31,
112,,45,31,
114,,46,31,
116,,47,31,
118,,48,31,
58,,5,32,
58,,6,32,
144,,7,32,
67,,8,32,
116,,49,32,
93,,10,32,
89,,11,32,
86,,12,32,
83,,13,32,
82,,14,32,
80,,15,32,
78,,16,32,
76,,17,32,
76,,18,32,
76,,19,32,
81,,20,32,
85,,21,32,
90,,22,32,
94,,23,32,
99,,24,32,
105,,25,32,
113,,26,32,
120,,27,32,
99,,28,32,
119,,29,32,
127,,30,32,
117,,31,32,
104,,32,32,
114,,33,32,
106,,34,32,
104,,35,32,
97,,36,32,
90,,37,32,
80,,38,32,
75,,39,32,
65,,40,32,
65,,41,32,
65,,42,32,
65,,43,32,
62,,44,32,
60,,45,32,
58,,46,32,
58,,47,32,
58,,48,32,
117,,5,33,
122,,6,33,
205,,7,33,
128,,8,33,
111,,49,33,
85,,10,33,
81,,11,33,
78,,12,33,
75,,13,33,
74,,14,33,
73,,15,33,
73,,16,33,
73,,17,33,
73,,18,33,
73,,19,33,
76,,20,33,
80,,21,33,
85,,22,33,
89,,23,33,
94,,24,33,
100,,25,33,
109,,26,33,
115,,27,33,
94,,28,33,
114,,29,33,
35,,30,33,
35,,31,33,
114,,32,33,
104,,33,33,
35,,34,33,
35,,35,33,
35,,36,33,
35,,37,33,
70,,38,33,
76,,39,33,
106,,40,33,
106,,41,33,
106,,42,33,
106,,43,33,
107,,44,33,
108,,45,33,
111,,46,33,
112,,47,33,
114,,48,33,
110,,5,34,
114,,6,34,
198,,7,34,
120,,8,34,
104,,49,34,
78,,10,34,
74,,11,34,
71,,12,34,
67,,13,34,
66,,14,34,
65,,15,34,
65,,16,34,
66,,17,34,
66,,18,34,
66,,19,34,
69,,20,34,
72,,21,34,
78,,22,34,
82,,23,34,
87,,24,34,
92,,25,34,
101,,26,34,
107,,27,34,
87,,28,34,
107,,29,34,
35,,30,34,
35,,31,34,
106,,32,34,
35,,33,34,
104,,34,34,
