stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
67130,,168TH AVE SE & SE 17TH ST,,47.5960617,-122.115616,19,,,
67140,,SE 14TH ST & 167TH AVE SE,,47.5981674,-122.116821,19,,,
67150,,SE 14TH ST & 165TH AVE SE,,47.5982094,-122.119896,19,,,
67160,,164TH AVE SE & SE 12TH ST,,47.6000519,-122.120865,19,,,
67170,,164TH AVE SE & SE 9TH ST,,47.6023521,-122.121201,19,,,
67180,,164TH AVE SE & SE 7TH ST,,47.6041489,-122.121269,19,,,
67190,,164TH AVE SE & LK HILLS BLVD,,47.6056175,-122.121216,19,,,
67200,,164TH AVE SE & SE 2ND ST,,47.6079063,-122.121201,19,,,
67210,,164TH AVE NE & MAIN ST,,47.6099281,-122.121193,19,,,
67220,,164TH AVE NE & NE 2ND ST,,47.6116905,-122.1213,19,,,
67230,,164TH AVE NE & NE 4TH ST,,47.6135826,-122.121399,19,,,
67240,,164TH AVE NE & NE 6TH ST,,47.6151123,-122.12149,19,,,
67250,,164TH AVE NE & NE 8TH ST,,47.6172829,-122.12159,19,,,
67260,,164TH AVE NE & NE 11TH ST,,47.6195259,-122.121597,19,,,
67270,,164TH AVE NE & NE 13TH PL,,47.6218529,-122.12159,19,,,
67280,,164TH AVE NE & NE 16TH PL,,47.624897,-122.121574,19,,,
67290,,164TH AVE NE & NE 18TH ST,,47.6266594,-122.12101,19,,,
67300,,164TH AVE NE & NE 20TH ST,,47.6280518,-122.121002,19,,,
67320,,164TH AVE NE & NE 24TH ST,,47.6309814,-122.121559,19,,,
67330,,NORTHUP WAY & 165TH AVE NE,,47.6238518,-122.120056,19,,,
67340,,NORTHUP WAY & 168TH AVE NE,,47.6223717,-122.115463,19,,,
67360,,NORTHUP WAY & 170TH AVE NE,,47.6214066,-122.112465,19,,,
67370,,NORTHUP WAY & NE 10TH ST,,47.6181335,-122.108871,19,,,
67380,,NE 8TH ST & 172ND PL NE,,47.6168556,-122.109344,19,,,
67390,,NE 8TH ST & 172ND AVE NE,,47.6168594,-122.111488,19,,,
67400,,NE 8TH ST & 170TH PL NE,,47.6169128,-122.114555,19,,,
67410,,NE 8TH ST & 167TH AVE NE,,47.6169624,-122.11779,19,,,
